Name,vegetables,unknown,dairy,human,animal,insect,freeliving
L_crispatus_MHKL_MAG_00153,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00157,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00159,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00161,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00166,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00167,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00170,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00171,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00172,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00174,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00187,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00189,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00205,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00227,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00229,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00235,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00244,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00248,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00258,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00264,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00266,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00268,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00272,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00278,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00290,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00304,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00316,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00318,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00335,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00340,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00341,0,0,0,1,0,0,0
L_crispatus_MHKL_MAG_00342,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_A05_S609-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_A06_S617-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_B05_S610-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_B07_S626-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_C03_S595-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_C04_S603-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_C05_S611-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_C07_S627-bin_2,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_E06_S621-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_E07_S629-bin_2,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_F06_S622-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_G06_S623-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_H06_S624-bin_1,0,0,0,1,0,0,0
L_crispatus_Mitchell_12_29_17_H07_S632-bin_1,0,0,0,1,0,0,0
L_crispatus_NCK1351,0,0,0,1,0,0,0
L_crispatus_PMC201,0,0,0,1,0,0,0
L_crispatus_PRL2021,0,0,0,1,0,0,0
L_crispatus_RL02,0,0,0,1,0,0,0
L_crispatus_RL05,0,0,0,1,0,0,0
L_crispatus_RL09,0,0,0,1,0,0,0
L_crispatus_RL10,0,0,0,1,0,0,0
L_crispatus_RL11,0,0,0,1,0,0,0
L_crispatus_RL14,0,0,0,1,0,0,0
L_crispatus_RL15,0,0,0,1,0,0,0
L_crispatus_RL19,0,0,0,1,0,0,0
L_crispatus_RL20,0,0,0,1,0,0,0
L_crispatus_RL21,0,0,0,1,0,0,0
L_crispatus_RL24,0,0,0,1,0,0,0
L_crispatus_RL25,0,0,0,1,0,0,0
L_crispatus_RL26,0,0,0,1,0,0,0
L_crispatus_RL27,0,0,0,1,0,0,0
L_crispatus_RL28,0,0,0,1,0,0,0
L_crispatus_ST1,0,0,0,0,1,0,0
L_crispatus_UBLCp-01,0,0,0,1,0,0,0
L_crispatus_UMB0040,0,0,0,1,0,0,0
L_crispatus_UMB0044,0,0,0,1,0,0,0
L_crispatus_UMB0054,0,0,0,1,0,0,0
L_crispatus_UMB0085,0,0,0,1,0,0,0
L_crispatus_UMB0803,0,0,0,1,0,0,0
L_crispatus_UMB1398,0,0,0,1,0,0,0
L_crispatus_UMNLC1,0,0,0,0,1,0,0
L_crispatus_UMNLC11,0,0,0,0,1,0,0
L_crispatus_UMNLC12,0,0,0,0,1,0,0
L_crispatus_UMNLC13,0,0,0,0,1,0,0
L_crispatus_UMNLC14,0,0,0,0,1,0,0
L_crispatus_UMNLC15,0,0,0,0,1,0,0
L_crispatus_UMNLC16,0,0,0,0,1,0,0
L_crispatus_UMNLC18,0,0,0,0,1,0,0
L_crispatus_UMNLC19,0,0,0,0,1,0,0
L_crispatus_UMNLC20,0,0,0,0,1,0,0
L_crispatus_UMNLC21,0,0,0,0,1,0,0
L_crispatus_UMNLC22,0,0,0,0,1,0,0
L_crispatus_UMNLC23,0,0,0,0,1,0,0
L_crispatus_UMNLC24,0,0,0,0,1,0,0
L_crispatus_UMNLC25,0,0,0,0,1,0,0
L_crispatus_UMNLC3,0,0,0,0,1,0,0
L_crispatus_UMNLC6,0,0,0,0,1,0,0
L_crispatus_UMNLC8,0,0,0,0,1,0,0
L_crispatus_VMC1,0,0,0,1,0,0,0
L_crispatus_VMC2,0,0,0,1,0,0,0
L_crispatus_VMC5,0,0,0,1,0,0,0
L_crispatus_lc31,0,0,0,1,0,0,0
L_crispatus_lc83,0,0,0,1,0,0,0
L_delbrueckii_L10,0,0,0,0,1,0,0
L_delbrueckii_ME-782,0,0,0,0,1,0,0
L_delbrueckii_ME-783,0,0,0,0,1,0,0
L_delbrueckii_ME-785,0,0,0,0,1,0,0
L_delbrueckii_ME-786,0,0,0,0,1,0,0
L_delbrueckii_ME-787,0,0,0,0,1,0,0
L_delbrueckii_ME-788,0,0,0,0,1,0,0
L_delbrueckii_ME-789,0,0,0,0,1,0,0
L_delbrueckii_ME-790,0,0,0,0,1,0,0
L_delbrueckii_ME-791,0,0,0,0,1,0,0
L_delbrueckii_ME-792,0,0,0,0,1,0,0
L_delbrueckii_ME-793,0,0,0,0,1,0,0
L_delbrueckii_ME-795,0,0,0,0,1,0,0
L_delbrueckii_ME-796,0,0,0,0,1,0,0
L_delbrueckii_ME-797,0,0,0,0,1,0,0
L_delbrueckii_ME-798,0,0,0,0,1,0,0
L_delbrueckii_ME-800,0,0,0,0,1,0,0
L_delbrueckii_ME-801,0,0,0,0,1,0,0
L_delbrueckii_ME-802,0,0,0,0,1,0,0
L_delbrueckii_ME-803,0,0,0,0,1,0,0
L_delbrueckii_ME-804,0,0,0,0,1,0,0
L_delbrueckii_ME-805,0,0,0,0,1,0,0
L_delbrueckii_ME-806,0,0,0,0,1,0,0
L_delbrueckii_ME-807,0,0,0,0,1,0,0
L_delbrueckii_MGYG_HGUT_01369,0,0,0,1,0,0,0
L_delbrueckii_P3MRA,0,1,0,0,0,0,0
L_delbrueckii_QAULDN14,0,0,1,0,0,0,0
L_delbrueckii_QAULDN61,0,0,1,0,0,0,0
L_delbrueckii_TS1-06,0,0,1,0,0,0,0
L_delbrueckii_UMB0003,0,0,0,1,0,0,0
L_delbrueckii_subsp_bulgaricus_ACA_DC_87,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_ATCC_11842,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_ATCC_BAA-365,0,1,0,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CBC-LB69,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CBC-LB8,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_1376,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_1381,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_1579,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_1614,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_1623,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_2159,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_860,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_864,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_905,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_CIRM_BIA_906,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_DSM_20080,0,0,0,0,0,0,1
L_delbrueckii_subsp_bulgaricus_DSM_20081,0,0,1,0,0,0,0
