"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_rodentium_DSM_24759_00333","","","11","6","94","895","10.476190476190476","99.33407325194229","17.45567375886525","7.067320651581263e-08","0.0017671835289278948","1.3860262971983488e-06"
"L_rodentium_DSM_24759_01261","1020_g_151","1020_g_1549","45","164","60","737","42.857142857142854","81.79800221975583","3.370426829268293","7.174004758937126e-08","0.0017938598899722284","1.4051738966018627e-06"
"L_hamsteri_DSM_5661_00151/0.4","","","10","4","95","897","9.523809523809524","99.55604883462819","23.605263157894736","7.18181259690934e-08","0.0017958122398571805","1.4051738966018627e-06"
"L_helveticus_IMAU30034_01224","","","10","4","95","897","9.523809523809524","99.55604883462819","23.605263157894736","7.18181259690934e-08","0.0017958122398571805","1.4051738966018627e-06"
"L_acidophilus_YT1_00410","","","72","368","33","533","68.57142857142857","59.15649278579356","3.1600790513833994","7.198329069317532e-08","0.001799942183782849","1.4073042875550031e-06"
"L_helsingborgensis_ESL0183_00037","","","84","480","21","421","80.0","46.72586015538291","3.5083333333333333","7.557259744605145e-08","0.0018896927991385163","1.4763224993269659e-06"
"L_paragasseri_UBLG-36_01743","1020_g_27","1020_g_3072","88","520","17","381","83.80952380952381","42.28634850166482","3.792760180995475","7.809272788591732e-08","0.0019527086607873626","1.524362732855084e-06"
"L_crispatus_Mitchell_12_29_17_G06_S623-bin_1_00203/0.1","","","28","70","77","831","26.666666666666668","92.23085460599334","4.316883116883117","7.837189710322905e-08","0.0019596892870662424","1.5286187886632156e-06"
"L_gasseri_497_LGAS_01760","1020_g_779","1020_g_2969","101","682","4","219","96.19047619047619","24.30632630410655","8.108137829912023","7.923651937465346e-08","0.00198130916696321","1.5442783842269757e-06"
"L_acetotolerans_UBA10954_00965","1020_g_154","1020_g_1552","88","521","17","380","83.80952380952381","42.17536071032186","3.775544766851078","7.994167411735951e-08","0.0019989415613045746","1.5568080695518494e-06"
"L_amylovorus_DSM_16698_00847","","","75","394","30","507","71.42857142857143","56.270810210876796","3.217005076142132","8.047621475563499e-08","0.002012307749964653","1.5652758814908547e-06"
"L_crispatus_KT-11_02418","","","13","11","92","890","12.380952380952381","98.77913429522752","11.432806324110672","8.050169100568843e-08","0.002012944783597239","1.5652758814908547e-06"
"L_crispatus_MHKL_MAG_00009_00463","","","4","220","101","681","3.8095238095238098","75.5826859045505","0.1225922592259226","8.088596550307926e-08","0.002022553567404497","1.5715256933989875e-06"
"L_helveticus_NBIMCC_8269_179_00034","","","76","402","29","499","72.38095238095238","55.38290788013318","3.253045119231429","8.14194280025405e-08","0.0020358927972035255","1.5806621096300664e-06"
"L_crispatus_Chicken_6_mag_147_01525","","","5","233","100","668","4.761904761904762","74.13984461709212","0.14334763948497853","8.455790957713921e-08","0.0021143705289763657","1.6382679808675105e-06"
"L_crispatus_CM_H01_S776-bin_1_00614","1020_g_568","1020_g_2710","103","717","2","184","98.09523809523809","20.42175360710322","13.216178521617852","8.464875949933309e-08","0.0021166422312808237","1.6382679808675105e-06"
"L_crispatus_Mitchell_12_29_17_C05_S611-bin_1_00275","1020_g_567","1020_g_2709","103","717","2","184","98.09523809523809","20.42175360710322","13.216178521617852","8.464875949933309e-08","0.0021166422312808237","1.6382679808675105e-06"
"L_sp_W8086_00157","1020_g_570","1020_g_2712","103","717","2","184","98.09523809523809","20.42175360710322","13.216178521617852","8.464875949933309e-08","0.0021166422312808237","1.6382679808675105e-06"
"L_amylolyticus_L5_01660","","","10","299","95","602","9.523809523809524","66.81465038845728","0.2119345185706742","8.535154669123682e-08","0.0021342154250143766","1.6458700630493203e-06"
"L_equicursoris_DSM_19284_00770","1020_g_569","1020_g_2711","103","718","2","183","98.09523809523809","20.310765815760266","13.126044568245126","8.537066473805114e-08","0.0021346934717749685","1.6458700630493203e-06"
"L_hominis_MGYG_HGUT_02360_01463","1020_g_776","1020_g_2966","103","718","2","183","98.09523809523809","20.310765815760266","13.126044568245126","8.537066473805114e-08","0.0021346934717749685","1.6458700630493203e-06"
"L_sp_LAC2_00500","1020_g_571","1020_g_2713","103","718","2","183","98.09523809523809","20.310765815760266","13.126044568245126","8.537066473805114e-08","0.0021346934717749685","1.6458700630493203e-06"
